"CustomerID","Gender","Age","Partner","Dependents","Tenure","MultipleLines","InternetService","OnlineProtect","TechSupport","Streaming","Outage","ContractType","MonthlyCharges","Churn","Pilot","ChurnIn"
"0011-IGKFF","Male",88,"Yes","No",13,1,"Fiber optic",2,2,3,"Frequent",1,98,"Yes",0,NA
"0013-EXCHZ","Female",88,"Yes","No",3,1,"Fiber optic",0,3,1,"Occasional",1,83.9,"Yes",0,NA
"0013-MHZWF","Female",59,"No","Yes",9,1,"5G",0,3,3,"Occasional",1,69.4,"No",0,19
"0014-BMAQU","Male",55,"Yes","No",63,1,"No",1,3,0,"Occasional",24,84.65,"No",0,10
"0016-QLJIS","Female",50,"Yes","Yes",65,2,"DSL",3,3,3,"Occasional",24,90.45,"No",0,32
"0017-IUDMW","Female",33,"Yes","Yes",72,2,"Fiber optic",3,3,3,"Occasional",24,116.8,"No",0,21
"0018-NYROU","Female",29,"Yes","No",5,1,"Fiber optic",0,2,0,"Occasional",1,68.95,"No",0,25
"0019-EFAEP","Female",25,"No","No",72,2,"5G",3,2,1,"Occasional",24,101.3,"No",0,42
"0019-GFNTW","Female",49,"No","No",56,0,"DSL",3,3,0,"Occasional",24,45.05,"No",0,5
"0020-INWCK","Female",61,"Yes","Yes",71,2,"5G",2,2,2,"Occasional",24,95.75,"No",0,37
"0020-JDNXP","Female",44,"Yes","Yes",34,0,"DSL",1,3,3,"Occasional",12,61.25,"No",0,10
"0021-IKXGC","Female",68,"No","No",1,2,"DSL",0,2,0,"Occasional",1,72.1,"No",1,18
"0022-TCJCI","Male",86,"No","No",45,1,"No",1,2,2,"Frequent",12,62.7,"Yes",0,NA
"0023-HGHWL","Male",60,"No","No",1,0,"DSL",0,2,0,"Frequent",1,25.1,"Yes",0,NA
"0023-UYUPN","Female",69,"Yes","No",50,1,"No",0,1,0,"Occasional",12,25.2,"No",0,18
"0023-XUOPT","Female",55,"Yes","No",13,2,"Fiber optic",2,2,1,"Frequent",1,94.1,"Yes",0,NA
"0030-FNXPP","Female",47,"No","No",3,1,"5G",0,1,0,"Occasional",1,19.85,"No",1,6
"0031-PVLZI","Female",40,"No","No",4,1,"5G",0,1,0,"Occasional",1,20.35,"Yes",0,NA
"0032-PGELS","Female",21,"Yes","Yes",1,0,"DSL",1,2,0,"Frequent",1,30.5,"Yes",0,NA
"0036-IHMOT","Female",37,"Yes","Yes",55,1,"DSL",2,3,3,"Occasional",12,103.7,"No",1,14
"0040-HALCW","Male",53,"No","No",54,1,"5G",0,1,0,"Occasional",24,20.4,"No",0,34
"0042-RLHYP","Female",37,"No","No",69,1,"5G",0,1,0,"Occasional",24,19.7,"No",0,42
"0048-LUMLS","Male",56,"Yes","Yes",37,1,"5G",0,2,3,"Occasional",12,91.2,"No",1,41
"0048-PIHNL","Female",40,"No","No",49,1,"No",0,1,0,"Occasional",12,20.45,"No",0,4
"0052-DCKON","Male",63,"Yes","No",66,2,"Fiber optic",3,3,3,"Occasional",12,115.8,"No",0,42
"0052-YNYOT","Female",61,"No","No",67,1,"No",0,1,0,"Occasional",12,20.55,"No",0,10
"0056-EPFBG","Male",21,"Yes","Yes",20,0,"DSL",1,3,0,"Occasional",24,39.4,"No",0,17
"0057-QBUQH","Female",54,"No","No",43,2,"No",0,1,0,"Occasional",24,25.1,"No",0,35
"0060-FUALY","Female",42,"Yes","No",59,2,"Fiber optic",3,2,1,"Occasional",1,94.75,"No",0,29
"0064-YIJGF","Male",38,"Yes","Yes",27,2,"Fiber optic",0,2,0,"Occasional",1,75.75,"No",0,34
"0067-DKWBL","Male",83,"No","No",2,1,"5G",1,2,0,"Occasional",1,49.25,"Yes",1,NA
"0068-FIGTF","Female",41,"No","No",27,1,"DSL",2,3,3,"Occasional",12,78.2,"No",0,10
"0071-NDAFP","Male",59,"No","No",25,2,"No",0,1,0,"Occasional",24,25.5,"No",0,9
"0074-HDKDG","Male",36,"Yes","Yes",25,1,"5G",3,2,0,"Occasional",12,61.6,"No",0,41
"0078-XZMHT","Male",52,"Yes","No",72,2,"5G",2,3,3,"Occasional",24,85.15,"No",1,22
"0080-EMYVY","Female",32,"No","No",14,1,"DSL",2,2,0,"Occasional",12,51.45,"No",0,37
"0080-OROZO","Female",37,"No","No",35,1,"DSL",0,3,3,"Occasional",12,99.25,"No",0,6
