"CustomerID","Gender.x","Age.x","Partner.x","Dependents.x","Tenure.x","MultipleLines.x","InternetService.x","OnlineProtect.x","TechSupport.x","Streaming.x","Outage.x","ContractType.x","MonthlyCharges.x","Churn.x","Pilot.x","Gender.y","Age.y","Partner.y","Dependents.y","Tenure.y","MultipleLines.y","InternetService.y","OnlineProtect.y","TechSupport.y","Streaming.y","Outage.y","ContractType.y","MonthlyCharges.y","Churn.y","Pilot.y","ChurnIn"
"0002-ORFBO","Female",38,"Yes","Yes",9,1,"5G",2,3,1,"Occasional",12,65.6,"No",0,"Female",38,"Yes","Yes",9,1,"5G",2,3,1,"Occasional",12,65.6,"No",0,29
"0003-MKNFE","Male",51,"No","No",9,2,"DSL",0,2,2,"Occasional",1,59.9,"No",0,"Male",51,"No","No",9,2,"DSL",0,2,2,"Occasional",1,59.9,"No",0,7
"0004-TLHLJ","Male",47,"No","No",4,1,"Fiber optic",0,2,0,"Frequent",1,73.9,"Yes",0,"Male",47,"No","No",4,1,"Fiber optic",0,2,0,"Frequent",1,73.9,"Yes",0,NA
"0011-IGKFF","Male",88,"Yes","No",13,1,"Fiber optic",2,2,3,"Frequent",1,98,"Yes",0,"Male",88,"Yes","No",13,1,"Fiber optic",2,2,3,"Occasional",1,98,"Yes",0,NA
"0013-MHZWF","Female",59,"No","Yes",9,1,"5G",0,3,3,"Occasional",1,69.4,"No",0,"Female",59,"No","Yes",9,1,"5G",0,3,3,"Occasional",1,69.4,"No",0,19
"0014-BMAQU","Male",55,"Yes","No",63,1,"No",1,3,0,"Occasional",24,84.65,"No",0,"Male",55,"Yes","No",63,1,"No",1,3,0,"Occasional",24,84.65,"No",0,10
"0015-UOCOJ","Female",90,"No","No",7,1,"5G",1,2,0,"Occasional",1,48.2,"No",0,"Female",90,"No","No",7,1,"5G",1,2,0,"Occasional",1,48.2,"No",0,33
"0017-IUDMW","Female",33,"Yes","Yes",72,2,"Fiber optic",3,3,3,"Occasional",24,116.8,"No",0,"Female",33,"Yes","Yes",72,2,"Fiber optic",3,3,3,"Occasional",24,116.8,"No",0,21
"0019-EFAEP","Female",25,"No","No",72,2,"5G",3,2,1,"Occasional",24,101.3,"No",0,"Female",25,"No","No",72,2,"5G",3,2,1,"Occasional",24,101.3,"No",0,42
"0019-GFNTW","Female",49,"No","No",56,0,"DSL",3,3,0,"Occasional",24,45.05,"No",0,"Female",49,"No","No",56,0,"DSL",3,3,0,"Occasional",24,45.05,"No",0,5
"0021-IKXGC","Female",68,"No","No",1,2,"DSL",0,2,0,"Occasional",1,72.1,"No",1,"Female",68,"No","No",1,2,"DSL",0,2,0,"Occasional",1,72.1,"No",1,18
"0022-TCJCI","Male",86,"No","No",45,1,"No",1,2,2,"Frequent",12,62.7,"Yes",0,"Male",86,"No","No",45,1,"No",1,2,2,"Frequent",12,62.7,"Yes",0,NA
"0023-HGHWL","Male",60,"No","No",1,0,"DSL",0,2,0,"Frequent",1,25.1,"Yes",0,"Male",60,"No","No",1,0,"DSL",0,2,0,"Frequent",1,25.1,"Yes",0,NA
"0023-XUOPT","Female",55,"Yes","No",13,2,"Fiber optic",2,2,1,"Frequent",1,94.1,"Yes",0,"Female",55,"Yes","No",13,2,"Fiber optic",2,2,1,"Occasional",1,94.1,"Yes",0,NA
"0027-KWYKW","Female",61,"Yes","Yes",23,2,"Fiber optic",0,2,1,"Occasional",1,83.75,"No",0,"Female",61,"Yes","Yes",23,2,"Fiber optic",0,2,1,"Occasional",1,83.75,"No",0,3
"0030-FNXPP","Female",47,"No","No",3,1,"5G",0,1,0,"Occasional",1,19.85,"No",1,"Female",47,"No","No",3,1,"5G",0,1,0,"Occasional",1,19.85,"No",1,6
"0031-PVLZI","Female",40,"No","No",4,1,"5G",0,1,0,"Occasional",1,20.35,"Yes",0,"Female",40,"No","No",4,1,"5G",0,1,0,"Occasional",1,20.35,"Yes",0,NA
